ticker,country,sector
ALRS,RU,Materials
AMZN,US,Consumer
CAT,US,Industrials
DUK,US,Utilities
FLOT,RU,Industrials
GAZP,RU,Energy
GMKN,RU,Materials
GS,US,Financials
HON,US,Industrials
HYDR,RU,Utilities
JNJ,US,Healthcare
JPM,US,Financials
LIN,US,Materials
LKOH,RU,Energy
MDMG,RU,Healthcare
META,US,Tech
MGNT,RU,Consumer
MOEX,RU,Financials
MRK,US,Healthcare
MTSS,RU,Telecom
NVDA,US,Tech
OZON,RU,Consumer
PHOR,RU,Materials
PLZL,RU,Materials
ROSN,RU,Energy
RTKM,RU,Telecom
SBER,RU,Financials
V,US,Financials
WMT,US,Consumer
XOM,US,Energy
YDEX,RU,Tech
