ticker,country,true,A_features,B_label_spreading,C_sheaf
ALRS,RU,Materials,Consumer,Energy,Materials
AMZN,US,Consumer,Materials,Financials,Tech
CAT,US,Industrials,Financials,Financials,Financials
FLOT,RU,Industrials,Materials,Energy,Energy
GAZP,RU,Energy,Materials,Materials,Energy
GMKN,RU,Materials,Materials,Energy,Materials
GS,US,Financials,Financials,Industrials,Financials
HON,US,Industrials,Materials,Financials,Financials
JNJ,US,Healthcare,Financials,Financials,Healthcare
JPM,US,Financials,Healthcare,Financials,Financials
LIN,US,Materials,Healthcare,Financials,Financials
LKOH,RU,Energy,Consumer,Materials,Energy
MDMG,RU,Healthcare,Financials,Materials,Financials
META,US,Tech,Materials,Financials,Financials
MGNT,RU,Consumer,Energy,Materials,Materials
MOEX,RU,Financials,Consumer,Materials,Consumer
MRK,US,Healthcare,Financials,Financials,Healthcare
NVDA,US,Tech,Financials,Financials,Consumer
OZON,RU,Consumer,Tech,Materials,Financials
PHOR,RU,Materials,Consumer,Energy,Materials
PLZL,RU,Materials,Tech,Energy,Materials
ROSN,RU,Energy,Consumer,Materials,Materials
SBER,RU,Financials,Energy,Energy,Energy
V,US,Financials,Materials,Financials,Financials
WMT,US,Consumer,Financials,Financials,Healthcare
XOM,US,Energy,Financials,Financials,Industrials
YDEX,RU,Tech,Energy,Materials,Energy
