ticker,country,sector,degree,wdegree,betweenness,eigen
ROSN,RU,Energy,16,8.674,0.1149,0.4328
MGNT,RU,Consumer,12,6.007,0.0023,0.3245
HON,US,Industrials,11,3.826,0.0299,0.3807
SBER,RU,Financials,11,6.308,0.0207,0.3507
LIN,US,Materials,11,3.605,0.0253,0.3455
ALRS,RU,Materials,10,5.082,0.0138,0.2778
YDEX,RU,Tech,10,5.435,0.0115,0.307
GS,US,Financials,9,3.845,0.0207,0.4255
RTKM,RU,Telecom,8,4.308,0.0023,0.2344
GMKN,RU,Materials,8,3.72,0.0,0.2022
JPM,US,Financials,6,2.873,0.0023,0.3611
GAZP,RU,Energy,6,2.86,0.0,0.184
LKOH,RU,Energy,6,3.377,0.0,0.2281
V,US,Financials,6,2.365,0.0,0.2918
AMZN,US,Consumer,6,2.4,0.0115,0.2451
CAT,US,Industrials,6,2.432,0.0115,0.2858
MOEX,RU,Financials,6,3.191,0.0,0.2121
PHOR,RU,Materials,5,2.057,0.0,0.1432
XOM,US,Energy,5,1.584,0.0,0.2095
WMT,US,Consumer,5,1.304,0.0,0.1158
DUK,US,Utilities,5,1.645,0.0,0.125
PLZL,RU,Materials,5,1.086,0.0,0.0684
MTSS,RU,Telecom,5,2.699,0.0,0.1933
OZON,RU,Consumer,5,2.722,0.0,0.1928
NVDA,US,Tech,5,2.03,0.0,0.2223
MRK,US,Healthcare,5,1.372,0.0,0.1127
FLOT,RU,Industrials,5,2.781,0.0,0.182
MDMG,RU,Healthcare,5,2.119,0.0,0.1538
JNJ,US,Healthcare,5,1.72,0.0023,0.1206
HYDR,RU,Utilities,5,2.655,0.0,0.1726
META,US,Tech,5,2.018,0.0023,0.2186
