,fiedler
ALRS,-3.655583651360616e-17
AMZN,0.1552170492985267
CAT,0.15183396561241772
DUK,-0.30802807652911224
FLOT,-1.5904980872951213e-17
GAZP,-2.648493889952979e-17
GMKN,-4.503353786330055e-17
GS,0.1507052160859895
HON,0.14739594941153072
HYDR,9.047873400219905e-17
JNJ,-0.5210431594051538
JPM,0.15046225545640723
LIN,0.10363071063180856
LKOH,1.6243479457932662e-16
MDMG,-9.738631455197788e-17
META,0.15015056854241374
MGNT,-7.17667968427839e-17
MOEX,7.69000646160392e-17
MRK,-0.6437214206925487
MTSS,-1.802807844939431e-16
NVDA,0.15057455116490295
OZON,-1.1696283263540644e-16
PHOR,-3.518018859049481e-17
PLZL,-4.85722573273506e-17
ROSN,-2.79247267722531e-17
RTKM,-9.368795733722289e-17
SBER,5.7004004272286075e-18
V,0.14784025846757384
WMT,6.564505341220828e-21
XOM,0.16498213195521957
YDEX,2.0549187124622024e-17
