ticker,country,sector,core_sheaf,core_graph,beta_mkt,wdegree,eigen_cent,mean|corr|
GAZP,RU,Energy,0.3677387251114969,0.35674922832826456,1.1420977313477991,5.889,0.411,0.2200034753835607
SBER,RU,Financials,0.35525589575721345,0.35110740296950277,1.2533426771762464,5.704,0.4075,0.23149921856461128
ROSN,RU,Energy,0.32431900683312176,0.31182294998497523,1.407483799324214,4.499,0.3404,0.21057978061644375
RTKM,RU,Telecom,0.2799539828579407,0.2574266775839654,0.8655191008665852,3.066,0.2266,0.183637916414758
HYDR,RU,Utilities,0.27185274154839684,0.2605964500131053,0.9530447330602929,3.142,0.2544,0.20197945707953774
MOEX,RU,Financials,0.26463460303650743,0.2833696166364381,0.839758363162265,3.716,0.2982,0.19238337063222166
MGNT,RU,Consumer,0.25754995826790766,0.2345701868264383,1.0745502556040365,2.546,0.2074,0.1860898956040319
YDEX,RU,Tech,0.24908441709919837,0.23484001701780524,1.239688363093917,2.552,0.1942,0.18447600208726614
MTSS,RU,Telecom,0.24635936610343295,0.23762620848658506,0.8445028217843207,2.613,0.1934,0.2001787478711794
ALRS,RU,Materials,0.2383708731957763,0.26263885418595406,1.1719113765641478,3.192,0.2493,0.2048444051368608
LKOH,RU,Energy,0.23186405792167367,0.2417981172894375,1.110821761341892,2.705,0.2533,0.20386667667728556
GMKN,RU,Materials,0.2076904255967334,0.2754251397170807,1.0996851994719261,3.51,0.2699,0.2085628108464946
PHOR,RU,Materials,0.1894665893973319,0.19381136334387133,0.5952783142736254,1.738,0.142,0.12810446034661302
PLZL,RU,Materials,0.1799626645208112,0.17388534528014846,1.7077616227365748,1.399,0.0826,0.11112145271932226
NOVN,EU,Healthcare,9.684827419343633e-15,6.19270348202438e-11,0.4185585553227988,2.295,0.0168,0.14644235489973337
AZN,EU,Healthcare,9.393692139192206e-15,6.37704834879984e-11,0.6680468608049006,2.434,0.0327,0.16977182577414343
JNJ,US,Healthcare,9.25001855769481e-15,6.979691619274544e-11,0.45383150636742225,2.916,0.0461,0.1640170832558785
NESN,EU,Consumer,9.18949660651039e-15,5.742459092404505e-11,0.3056481677596538,1.974,0.0155,0.10366909551242261
ULVR,EU,Consumer,8.2630974096753e-15,5.14772230050516e-11,0.25632146226055946,1.586,0.0137,0.08824009956977624
MRK,US,Healthcare,8.06468227674617e-15,5.953587177178992e-11,0.5831084191081436,2.122,0.0345,0.14681902331441957
DUK,US,Utilities,6.817176195936694e-15,6.179643738290997e-11,0.5997702037816321,2.286,0.063,0.13204787206048307
NOVO,EU,Healthcare,6.158776022092722e-15,4.684615467061096e-11,0.4526354729483184,1.314,0.0146,0.09369184751601826
LIN,US,Materials,4.879442470025724e-15,8.435726503820728e-11,0.9525841240016989,4.259,0.2055,0.26128877660910405
WMT,US,Consumer,2.5977077156997762e-15,4.880484209721881e-11,0.43111534960059755,1.426,0.0574,0.12701128471657278
HON,US,Industrials,2.3694132262369633e-15,8.61636837507119e-11,0.9716328663330687,4.444,0.3084,0.24489070813740102
V,US,Financials,1.5883599241236626e-15,6.93075974047031e-11,0.9548524108514705,2.875,0.1483,0.24299044946223633
SAP,EU,Tech,1.1179793095980775e-15,7.53513204581155e-11,0.9410400170928169,3.399,0.1203,0.21623738101213508
JPM,US,Financials,1.0353284426532284e-15,9.306163876998599e-11,1.1542160981871765,5.184,0.37,0.24870491001543008
META,US,Tech,9.51893081445082e-16,6.458859764884354e-11,1.1779065320660174,2.497,0.0806,0.17689848072976758
AIR,EU,Industrials,9.434849848698224e-16,7.392988939873344e-11,1.82790164556696,3.272,0.2746,0.21257767509219794
XOM,US,Energy,8.737773046970893e-16,6.840211445424452e-11,1.0923824838165748,2.801,0.1893,0.20899948511001012
SHEL,EU,Energy,8.700389008129328e-16,7.243596248957682e-11,1.2998652152262031,3.141,0.1974,0.2236692241321194
CAT,US,Industrials,8.518479506782704e-16,1.0360672211157285e-10,1.2173364644709326,6.425,0.4119,0.25731859463522994
MC,EU,Consumer,8.508201926428695e-16,6.977263697325879e-11,1.2607682412992993,2.914,0.26,0.22811088526124818
AMZN,US,Consumer,8.502239872334314e-16,6.518549980192258e-11,0.9477472382251885,2.543,0.0818,0.17334446691925526
SU,EU,Industrials,8.226777754420633e-16,6.821074347805125e-11,1.520793238370083,2.785,0.179,0.21752754616857936
TTE,EU,Energy,7.042687027747046e-16,5.613495839773726e-11,1.0454983906343769,1.886,0.1285,0.14175421762941678
NVDA,US,Tech,6.752718331854663e-16,6.469459787338932e-11,1.582863113772762,2.505,0.0993,0.18535914716080948
GS,US,Financials,6.350040470390234e-16,9.07477429616142e-11,1.2947238907476328,4.929,0.3441,0.2682025829572706
ASML,EU,Tech,5.769487727750892e-16,7.827749027339255e-11,1.431632670559557,3.668,0.1484,0.22017609441568606
ROG,EU,Healthcare,4.549398857150353e-16,5.7303503854543816e-11,1.1537283676625476,1.966,0.161,0.1790081600220225
SIE,EU,Industrials,3.766063173715289e-16,5.978081858386035e-11,0.997720337016151,2.139,0.1293,0.20021501895272012
HSBA,EU,Financials,2.103564606255112e-16,5.3949728077717144e-11,0.6832455188650366,1.742,0.1423,0.1507792150861738
ERIC,EU,Tech,1.4372461182725942e-16,5.688579768652193e-11,1.0170790174725648,1.937,0.1199,0.21802185713791922
