ticker,country,sector,cluster_spd
AIR,EU,Industrials,6
ALRS,RU,Materials,0
AMZN,US,Consumer,7
ASML,EU,Tech,3
AZN,EU,Healthcare,8
CAT,US,Industrials,5
DUK,US,Utilities,1
ERIC,EU,Tech,3
GAZP,RU,Energy,2
GMKN,RU,Materials,0
GS,US,Financials,5
HON,US,Industrials,5
HSBA,EU,Financials,8
HYDR,RU,Utilities,0
JNJ,US,Healthcare,1
JPM,US,Financials,5
LIN,US,Materials,5
LKOH,RU,Energy,2
MC,EU,Consumer,3
META,US,Tech,7
MGNT,RU,Consumer,2
MOEX,RU,Financials,2
MRK,US,Healthcare,1
MTSS,RU,Telecom,2
NESN,EU,Consumer,8
NOVN,EU,Healthcare,8
NOVO,EU,Healthcare,8
NVDA,US,Tech,7
PHOR,RU,Materials,1
PLZL,RU,Materials,4
ROG,EU,Healthcare,3
ROSN,RU,Energy,0
RTKM,RU,Telecom,2
SAP,EU,Tech,3
SBER,RU,Financials,0
SHEL,EU,Energy,6
SIE,EU,Industrials,6
SU,EU,Industrials,6
TTE,EU,Energy,8
ULVR,EU,Consumer,8
V,US,Financials,5
WMT,US,Consumer,1
XOM,US,Energy,3
YDEX,RU,Tech,0
