ticker,true,A,B,C,D
ALRS,Materials,Energy,Financials,Materials,Energy
AMZN,Consumer,Financials,Financials,Financials,Financials
GAZP,Energy,Materials,Materials,Materials,Energy
GMKN,Materials,Materials,Financials,Materials,Energy
GS,Financials,Financials,Financials,Financials,Financials
JPM,Financials,Financials,Financials,Financials,Financials
LIN,Materials,Financials,Financials,Financials,Financials
LKOH,Energy,Materials,Materials,Energy,Financials
MGNT,Consumer,Energy,Materials,Energy,Energy
MOEX,Financials,Consumer,Materials,Energy,Consumer
OZON,Consumer,Energy,Materials,Financials,Financials
PHOR,Materials,Materials,Financials,Energy,Materials
PLZL,Materials,Energy,Financials,Materials,Energy
ROSN,Energy,Consumer,Materials,Materials,Financials
SBER,Financials,Energy,Materials,Energy,Energy
V,Financials,Materials,Financials,Financials,Financials
WMT,Consumer,Financials,Financials,Financials,Financials
XOM,Energy,Financials,Financials,Financials,Financials
