source,target,rho,distance,cross
ALRS,HYDR,0.1458,1.3071,False
ALRS,PHOR,0.1424,1.3097,False
ALRS,MTSS,0.1394,1.312,False
ALRS,GMKN,0.1236,1.324,False
ALRS,MGNT,0.097,1.3439,False
AMZN,META,0.3758,1.1173,False
AMZN,NVDA,0.3075,1.1768,False
AMZN,V,0.1532,1.3014,False
AMZN,LIN,-0.106,1.4873,False
AMZN,WMT,0.0978,1.3433,False
AMZN,LKOH,-0.0826,1.4715,True
CAT,GS,0.2761,1.2033,False
CAT,XOM,0.231,1.2402,False
CAT,HON,0.1942,1.2695,False
CAT,MDMG,0.1325,1.3172,True
CAT,NVDA,0.1241,1.3236,False
CAT,LKOH,-0.1041,1.486,True
CAT,META,-0.1085,1.489,False
CAT,MRK,0.0872,1.3511,False
DUK,JNJ,0.3154,1.1701,False
DUK,LIN,0.185,1.2767,False
DUK,WMT,0.1498,1.304,False
DUK,NVDA,-0.1318,1.5045,False
DUK,HON,0.1105,1.3338,False
FLOT,ROSN,0.1894,1.2733,False
FLOT,MOEX,0.142,1.31,False
FLOT,RTKM,0.1382,1.3128,False
FLOT,HYDR,0.1198,1.3268,False
FLOT,PHOR,-0.1123,1.4915,False
FLOT,MDMG,0.0894,1.3496,False
FLOT,MTSS,0.0793,1.357,False
GAZP,GMKN,0.1629,1.2939,False
GAZP,SBER,0.1225,1.3248,False
GAZP,LKOH,0.1073,1.3362,False
GAZP,ROSN,0.1066,1.3367,False
GAZP,YDEX,0.1034,1.3391,False
GAZP,JNJ,0.0828,1.3544,True
GAZP,MOEX,0.0684,1.365,False
GAZP,MRK,-0.0955,1.4802,True
GAZP,OZON,-0.0563,1.4535,False
GMKN,HYDR,0.1508,1.3032,False
GMKN,MOEX,0.1149,1.3305,False
GMKN,PHOR,0.1018,1.3403,False
GMKN,RTKM,0.0973,1.3437,False
GS,JPM,0.5989,0.8956,False
GS,NVDA,0.0927,1.3471,False
GS,HON,0.0803,1.3563,False
GS,PLZL,0.0797,1.3567,True
GS,MTSS,-0.077,1.4677,True
HON,LIN,0.2074,1.2591,False
HON,MRK,0.084,1.3535,False
HON,JPM,0.0737,1.3611,False
HYDR,RTKM,0.1387,1.3125,False
HYDR,MOEX,0.0974,1.3436,False
HYDR,OZON,0.0713,1.3628,False
JNJ,MRK,0.3538,1.1369,False
JNJ,WMT,0.1205,1.3263,False
JNJ,NVDA,-0.0984,1.4822,False
JPM,V,0.1554,1.2997,False
JPM,XOM,0.0999,1.3417,False
JPM,PHOR,-0.082,1.4711,True
LIN,V,0.1935,1.27,False
LIN,NVDA,0.1537,1.301,False
LIN,META,0.1518,1.3025,False
LIN,WMT,0.0641,1.3681,False
LKOH,ROSN,0.3784,1.115,False
LKOH,META,0.091,1.3483,True
MDMG,PLZL,0.0876,1.3509,False
MDMG,MGNT,0.0842,1.3533,False
MDMG,YDEX,0.0812,1.3556,False
META,NVDA,0.1647,1.2925,False
META,V,0.0875,1.351,False
META,XOM,-0.0694,1.4625,False
MGNT,PHOR,0.1546,1.3003,False
MGNT,YDEX,0.1004,1.3413,False
MGNT,ROSN,0.0971,1.3438,False
MGNT,NVDA,-0.0904,1.4767,True
MOEX,SBER,0.1821,1.279,False
MRK,PLZL,0.1122,1.3325,True
MRK,SBER,0.0956,1.3449,True
MTSS,RTKM,0.1836,1.2778,False
MTSS,SBER,0.1361,1.3144,False
NVDA,PLZL,0.0835,1.3539,True
NVDA,YDEX,0.0847,1.353,True
OZON,YDEX,0.3447,1.1448,False
OZON,RTKM,0.1136,1.3315,False
OZON,SBER,0.0929,1.3469,False
PHOR,ROSN,0.2188,1.25,False
PHOR,SBER,-0.1209,1.4973,False
PHOR,WMT,0.062,1.3697,True
PLZL,V,-0.0971,1.4813,True
ROSN,SBER,0.2458,1.2282,False
ROSN,XOM,0.1399,1.3115,True
SBER,YDEX,0.2258,1.2444,False
V,XOM,0.085,1.3528,False
