ticker,country,true,A_features,B_label_spreading,C_sheaf
ALRS,RU,Materials,Consumer,Financials,Materials
AMZN,US,Consumer,Materials,Financials,Tech
CAT,US,Industrials,Financials,Financials,Financials
FLOT,RU,Industrials,Materials,Financials,Financials
GAZP,RU,Energy,Materials,Financials,Materials
GMKN,RU,Materials,Materials,Financials,Materials
GS,US,Financials,Financials,Materials,Financials
HON,US,Industrials,Materials,Financials,Materials
JNJ,US,Healthcare,Financials,Financials,Healthcare
JPM,US,Financials,Healthcare,Materials,Financials
LIN,US,Materials,Healthcare,Financials,Tech
LKOH,RU,Energy,Consumer,Financials,Energy
MDMG,RU,Healthcare,Financials,Financials,Industrials
META,US,Tech,Materials,Financials,Consumer
MGNT,RU,Consumer,Energy,Financials,Materials
MOEX,RU,Financials,Consumer,Materials,Financials
MRK,US,Healthcare,Financials,Financials,Healthcare
NVDA,US,Tech,Financials,Financials,Tech
OZON,RU,Consumer,Tech,Financials,Tech
PHOR,RU,Materials,Consumer,Financials,Materials
PLZL,RU,Materials,Tech,Financials,Healthcare
ROSN,RU,Energy,Consumer,Financials,Energy
SBER,RU,Financials,Energy,Materials,Energy
V,US,Financials,Materials,Materials,Financials
WMT,US,Consumer,Financials,Financials,Materials
XOM,US,Energy,Financials,Financials,Industrials
YDEX,RU,Tech,Energy,Financials,Consumer
