ticker,country,true,A_features,B_label_spreading,C_sheaf
AIR,EU,Industrials,Tech,Financials,Industrials
ALRS,RU,Materials,Energy,Energy,Materials
AMZN,US,Consumer,Tech,Industrials,Tech
ASML,EU,Tech,Tech,Industrials,Tech
AZN,EU,Healthcare,Consumer,Industrials,Healthcare
CAT,US,Industrials,Financials,Financials,Financials
ERIC,EU,Tech,Energy,Industrials,Financials
GAZP,RU,Energy,Materials,Materials,Materials
GMKN,RU,Materials,Energy,Energy,Materials
GS,US,Financials,Industrials,Industrials,Industrials
HON,US,Industrials,Financials,Financials,Financials
HSBA,EU,Financials,Healthcare,Industrials,Financials
JNJ,US,Healthcare,Consumer,Industrials,Healthcare
JPM,US,Financials,Tech,Industrials,Industrials
LIN,US,Materials,Financials,Industrials,Tech
LKOH,RU,Energy,Energy,Materials,Energy
MC,EU,Consumer,Industrials,Industrials,Industrials
META,US,Tech,Tech,Industrials,Tech
MGNT,RU,Consumer,Energy,Materials,Energy
MOEX,RU,Financials,Consumer,Materials,Energy
MRK,US,Healthcare,Consumer,Industrials,Healthcare
NESN,EU,Consumer,Healthcare,Healthcare,Healthcare
NOVN,EU,Healthcare,Consumer,Industrials,Healthcare
NOVO,EU,Healthcare,Consumer,Industrials,Healthcare
NVDA,US,Tech,Industrials,Industrials,Tech
PHOR,RU,Materials,Consumer,Energy,Materials
PLZL,RU,Materials,Healthcare,Energy,Materials
ROG,EU,Healthcare,Energy,Industrials,Financials
ROSN,RU,Energy,Industrials,Materials,Materials
SAP,EU,Tech,Financials,Industrials,Tech
SBER,RU,Financials,Energy,Materials,Energy
SHEL,EU,Energy,Industrials,Industrials,Energy
SIE,EU,Industrials,Financials,Financials,Financials
SU,EU,Industrials,Tech,Financials,Energy
TTE,EU,Energy,Tech,Industrials,Energy
ULVR,EU,Consumer,Healthcare,Healthcare,Healthcare
V,US,Financials,Energy,Industrials,Tech
WMT,US,Consumer,Healthcare,Healthcare,Healthcare
XOM,US,Energy,Financials,Industrials,Industrials
YDEX,RU,Tech,Energy,Materials,Financials
