ticker,country,sector,degree,wdegree,betweenness,eigen
NVDA,US,Tech,10,1.331,0.1034,0.3241
GAZP,RU,Energy,9,0.906,0.0759,0.1257
CAT,US,Industrials,8,1.258,0.0644,0.283
SBER,RU,Financials,8,1.222,0.0828,0.1598
PHOR,RU,Materials,8,0.995,0.0828,0.1386
META,US,Tech,7,1.049,0.0161,0.291
FLOT,RU,Industrials,7,0.87,0.046,0.093
ROSN,RU,Energy,7,1.376,0.0966,0.2087
LIN,US,Materials,7,1.062,0.023,0.2537
AMZN,US,Consumer,6,1.123,0.0207,0.3017
V,US,Financials,6,0.772,0.0115,0.1922
MRK,US,Healthcare,6,0.828,0.0529,0.145
MGNT,RU,Consumer,6,0.624,0.0253,0.0988
YDEX,RU,Tech,6,0.94,0.0598,0.1234
HON,US,Industrials,6,0.75,0.0276,0.1916
GMKN,RU,Materials,6,0.751,0.0299,0.0637
HYDR,RU,Utilities,6,0.724,0.0138,0.0495
GS,US,Financials,6,1.205,0.0621,0.3067
PLZL,RU,Materials,5,0.46,0.0046,0.0965
XOM,US,Energy,5,0.625,0.0276,0.1635
WMT,US,Consumer,5,0.494,0.0253,0.1071
DUK,US,Utilities,5,0.892,0.0092,0.1879
RTKM,RU,Telecom,5,0.671,0.0115,0.0497
MDMG,RU,Healthcare,5,0.475,0.0391,0.0753
LKOH,RU,Energy,5,0.763,0.0391,0.1799
OZON,RU,Consumer,5,0.679,0.0207,0.0764
MTSS,RU,Telecom,5,0.615,0.0391,0.0724
JNJ,US,Healthcare,5,0.971,0.0437,0.172
MOEX,RU,Financials,5,0.605,0.0069,0.0654
JPM,US,Financials,5,1.01,0.0345,0.265
ALRS,RU,Materials,5,0.648,0.0161,0.0565
